Kod,Nama,PPD
KBA0001,Sekolah Kebangsaan Mohd Ariff Abdullah,PPD BALING
KBA0002,Sekolah Kebangsaan Teloi Kanan,PPD BALING
KBA0003,Sekolah Kebangsaan Tembak,PPD BALING
KBA0004,Sekolah Kebangsaan Badang,PPD BALING
KBA0005,Sekolah Kebangsaan Asam Jawa/Carok Kelian,PPD BALING
KBA0006,Sekolah Kebangsaan Seri Inas,PPD BALING
KBA0007,Sekolah Kebangsaan Penghulu Abu Bakar,PPD BALING
KBA0008,Sekolah Kebangsaan Baling,PPD BALING
KBA0009,Sekolah Kebangsaan Dalam Wang,PPD BALING
KBA0010,Sekolah Kebangsaan Tunku Puan Habsah,PPD BALING
KBA0011,Sekolah Kebangsaan Iboi,PPD BALING
KBA0012,Sekolah Kebangsaan Syed Sheh,PPD BALING
KBA0013,Sekolah Kebangsaan Kampung Sadek,PPD BALING
KBA0014,Sekolah Kebangsaan Kampong Padang,PPD BALING
KBA0015,Sekolah Kebangsaan Kampung Sera,PPD BALING
KBA0016,Sekolah Kebangsaan Kuala Kupang,PPD BALING
KBA0017,Sekolah Kebangsaan Kuala Pegang,PPD BALING
KBA0018,Sekolah Kebangsaan Kuala Kuang,PPD BALING
KBA0019,Sekolah Kebangsaan Kuala Merah,PPD BALING
KBA0020,Sekolah Kebangsaan Kuala Samak,PPD BALING
KBA0021,Sekolah Kebangsaan Lanai,PPD BALING
KBA0022,Sekolah Kebangsaan Pulai,PPD BALING
KBA0023,Sekolah Kebangsaan Siong,PPD BALING
KBA0024,Sekolah Kebangsaan Tanjung Pari,PPD BALING
KBA0025,Sekolah Kebangsaan Tawar,PPD BALING
KBA0026,Sekolah Kebangsaan Tiak,PPD BALING
KBA0027,Sekolah Kebangsaan Titi Gantong,PPD BALING
KBA0028,Sekolah Kebangsaan Rambong Pulai,PPD BALING
KBA0029,Sekolah Kebangsaan Seri Bayu,PPD BALING
KBA0030,Sekolah Kebangsaan Kuala Ketil,PPD BALING
KBA0031,Sekolah Kebangsaan Seri Jemerli,PPD BALING
KBA0032,Sekolah Kebangsaan Kampung Selarong,PPD BALING
KBA0062,Sekolah Kebangsaan Telok Teduri,PPD BALING
KBA0063,Sekolah Kebangsaan Malau,PPD BALING
KBA0065,Sekolah Kebangsaan Paya Besar,PPD BALING
KBA0066,Sekolah Kebangsaan Binjul,PPD BALING
KBA0067,Sekolah Kebangsaan Kampung Bandar,PPD BALING
KBA0068,Sekolah Kebangsaan Ulu Tawar,PPD BALING
KBA0069,Sekolah Kebangsaan Ulu Bakai,PPD BALING
KBA0070,Sekolah Kebangsaan Seberang Ketil,PPD BALING
KBA0071,Sekolah Kebangsaan Binjul Dalam,PPD BALING
KBA0073,Sekolah Kebangsaan Kampong Keda,PPD BALING
KBA1001,Sekolah Kebangsaan Ayer Puteh,PPD KULIM/BANDAR BAHARU
KBA1002,Sekolah Kebangsaan Bandar Baharu,PPD KULIM/BANDAR BAHARU
KBA1004,Sekolah Kebangsaan Sungai Salleh,PPD KULIM/BANDAR BAHARU
KBA1005,Sekolah Kebangsaan Lubok Buntar,PPD KULIM/BANDAR BAHARU
KBA1006,Sekolah Kebangsaan Permatang Kerat Telunjuk,PPD KULIM/BANDAR BAHARU
KBA1007,Sekolah Kebangsaan Relau,PPD KULIM/BANDAR BAHARU
KBA1008,Sekolah Kebangsaan Selama,PPD KULIM/BANDAR BAHARU
KBA1009,Sekolah Kebangsaan Dato' Haji Zainuddin,PPD KULIM/BANDAR BAHARU
KBA1010,Sekolah Kebangsaan Sungai Batu,PPD KULIM/BANDAR BAHARU
KBA1011,Sekolah Kebangsaan Sg Kechil Ilir,PPD KULIM/BANDAR BAHARU
KBA1012,Sekolah Kebangsaan Sungai Kechil Ulu,PPD KULIM/BANDAR BAHARU
KBA1013,Sekolah Kebangsaan Sungai Taka,PPD KULIM/BANDAR BAHARU
KBA1014,Sekolah Kebangsaan Sg Tengas,PPD KULIM/BANDAR BAHARU
KBA2007,Sekolah Kebangsaan Alor Janggus,PPD KOTA SETAR
KBA2008,Sekolah Kebangsaan Seri Amar Diraja,PPD KOTA SETAR
KBA2010,Sekolah Kebangsaan Gunong,PPD KOTA SETAR
KBA2011,Sekolah Kebangsaan Kota Rentang,PPD KOTA SETAR
KBA2012,Sekolah Kebangsaan Wan Sulaiman Sidiq,PPD KOTA SETAR
KBA2013,Sekolah Kebangsaan Hj Abdullah Sadun,PPD KOTA SETAR
KBA2014,Sekolah Kebangsaan Dato' Shaari,PPD KOTA SETAR
KBA2015,Sekolah Kebangsaan Lengkuas,PPD KOTA SETAR
KBA2016,Sekolah Kebangsaan Mergong,PPD KOTA SETAR
KBA2017,Sekolah Kebangsaan Permatang Gunung,PPD KOTA SETAR
KBA2018,Sekolah Kebangsaan Simpang Tiga,PPD KOTA SETAR
KBA2019,Sekolah Kebangsaan Suka Menanti,PPD KOTA SETAR
KBA2020,Sekolah Kebangsaan Sungai Baru,PPD KOTA SETAR
KBA2021,Sekolah Kebangsaan Titi Gajah,PPD KOTA SETAR
KBA2022,Sekolah Kebangsaan Kubang Teduh,PPD KOTA SETAR
